Status;Name/Label;Value;Units/States;Description;Location;Type;Category;Expiration Time;Reference
;PPN_4001VOLCAR;4,589.1;L;Volume Carburant GEN1250 EXT;Bell>PPN>BACnet IP1>Device-10426>AI-1;BACnet AI;PPN;Unspecified;DCOCBH-D05:PPN/BACnet IP1.Device-10426.AI-1
;PTV_4001VLM;7,846.3;L;Volume;Bell>PTV>N2-1>PTV_MIG-20>PTV_4001VLM;N2 AI;HVAC;;DCOCBH-D05:PTV/N2-1.PTV_MIG-20.PTV_4001VLM
;PTV_4001VLMB;2,219.7;L;Volume Libre;Bell>PTV>N2-1>PTV_MIG-20>PTV_4001VLMB;N2 AI;HVAC;;DCOCBH-D05:PTV/N2-1.PTV_MIG-20.PTV_4001VLMB
;SAR_4001VL;5,109.8;Gal;Diesel-T01 Volume;Bell>SAR>FC-1>SAR_VEEDERROOT>AI-40103;BACnet AI;General;Unspecified;DCOCBH-D05:SAR/FC-1.SAR_VEEDERROOT.AI-40103
;SAR_4001ULLAGE;4,892.3;%;Diesel-T01 Ullage;Bell>SAR>FC-1>SAR_VEEDERROOT>AI-40105;BACnet AI;General;Unspecified;DCOCBH-D05:SAR/FC-1.SAR_VEEDERROOT.AI-40105
;SCA_4001VL;4,307.3;L;Volume;Bell>SCA>N2-1>SCA_MIG-30>SCA_4001VL;N2 AI;HVAC;;DCOCBH-D05:SCA/N2-1.SCA_MIG-30.SCA_4001VL
;SCA_4001ULLAGE;287.7;L;Ullage;Bell>SCA>N2-1>SCA_MIG-30>SCA_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:SCA/N2-1.SCA_MIG-30.SCA_4001ULLAGE
;SCO_4001ULLAGE;12,289.1;L;Ullage;Bell>SCO-3>Programming>VR-Data Transfer>SCO_4001ULLAGE;JCI AV;SCO;Unspecified;DCOCBH-D05:SCO-3/Programming.VR-Data Transfer.SCO_4001ULLAGE
;SCO_4001VL;34,198.9;L;Volume;Bell>SCO-3>Programming>VR-Data Transfer>SCO_4001VL;JCI AV;SCO;Unspecified;DCOCBH-D05:SCO-3/Programming.VR-Data Transfer.SCO_4001VL
;SDA_4002ULLAGE;5,842.4;L;MainTank Ullage;Bell>SDA>FC-2>SDA_4002VR>AI-40105;BACnet AI;SDA;;DCOCBH-D05:SDA/FC-2.SDA_4002VR.AI-40105
;SDA_4002VL;44,460.8;L;MainTank Volume;Bell>SDA>FC-2>SDA_4002VR>AI-40103;BACnet AI;SDA;;DCOCBH-D05:SDA/FC-2.SDA_4002VR.AI-40103
;SHP_4001VL;3,868.3;L;Volume;Bell>SHP>N2-1>MIG-10>SHP_4001VL;N2 AI;HVAC;;DCOCBH-D05:SHP/N2-1.MIG-10.SHP_4001VL
;SHP_4001ULLAGE;1,131.7;L;Ullage;Bell>SHP>N2-1>MIG-10>SHP_4001ULLAGE;N2 AI;HVAC;;DCOCBH-D05:SHP/N2-1.MIG-10.SHP_4001ULLAGE
